iter	RMSE
209	0.09198449084
210	0.09186483871
211	0.09174920407
212	0.09168158194
213	0.09156838731
214	0.09141226032
215	0.09129140413
216	0.09118518804
217	0.09105585339
218	0.09089677415
219	0.09078968722
220	0.09063426112
221	0.09046864769
222	0.09038238011
223	0.09026237788
224	0.09019238913
225	0.09006935148
226	0.08985162037
227	0.08968198153
228	0.08957135277
229	0.08947789324
230	0.08934156578
231	0.08922460934
232	0.08914906669
233	0.0890616099
234	0.08897682618
235	0.08880934535
236	0.08873151841
237	0.08862149012
238	0.08851197549
239	0.08837520459
240	0.08836036622
241	0.08825870577
242	0.08816826496
243	0.08805091045
244	0.08801229094
245	0.08794797698
246	0.08778213711
247	0.08771108838
248	0.08768121577
249	0.0875731047
250	0.08740291115
251	0.08725619862
252	0.08709773445
253	0.08697949244
254	0.08686771201
255	0.08674207406
256	0.08664713836
257	0.08652685279
258	0.08647741756
259	0.08633107939
260	0.08628149187
261	0.0861811862
262	0.08602204608
263	0.08593808023
264	0.08581650604
265	0.08569584388
266	0.08556889345
267	0.08545233822
268	0.08530070615
269	0.0852086065
270	0.08517240582
271	0.08504744722
272	0.08494234013
273	0.08482832166
274	0.08474355777
275	0.08471139937
276	0.08462474831
277	0.08449673484
278	0.08441118066
279	0.08430587546
280	0.08418672398
281	0.08415237617
282	0.08406076622
283	0.0839824231
284	0.0838781616
285	0.08374940773
286	0.08368551304
287	0.0836428743
288	0.08348565532
289	0.08335303523
290	0.08319581684
291	0.08318851901
292	0.08307310311
293	0.08292471533
294	0.082852256
295	0.0828402584
296	0.08269869523
297	0.08259070797
298	0.08249943125
299	0.08236902672
300	0.08231934557
301	0.08217367771
302	0.08206458758
303	0.08202099545
304	0.08190815334
305	0.08174276771
306	0.08166408464
307	0.08154207552
308	0.08136008274
309	0.0812759797
310	0.08116636391
311	0.08105719487
312	0.0809330171
313	0.08082463311
314	0.08073851945
315	0.08060931652
316	0.08055507193
317	0.08043244314
318	0.08035902038
319	0.08029047081
320	0.08022880254
321	0.0801115008
322	0.0800033505
323	0.07990541103
324	0.07982376341
325	0.07979564636
326	0.07967646918
327	0.07961215037
328	0.07954511175
329	0.07946602857
330	0.07937982937
331	0.07926264705
332	0.07916103259
333	0.07911747461
334	0.0790368405
335	0.07902484573
336	0.07894204214
337	0.07890225763
338	0.07884718468
339	0.07878749145
340	0.07865941373
341	0.07858925864
342	0.07847273964
343	0.07839218575
344	0.07834975814
345	0.07819185441
346	0.07805180115
347	0.07796488664
348	0.0779072716
349	0.0778489829
350	0.07778863237
351	0.07770536546
352	0.07756177737
353	0.07749730407
354	0.07740610848
355	0.07734166802
356	0.07725897405
357	0.07718265796
358	0.07705867762
359	0.0770007812
360	0.07693507652
361	0.07684378631
362	0.076792209
363	0.0767202105
364	0.07660086687
365	0.07649345161
366	0.07644336936
367	0.07639182753
368	0.07628555037
369	0.076272604
370	0.07615840985
371	0.07605471392
372	0.07599950771
373	0.07591835909
374	0.07589304233
375	0.07584090987
376	0.07583409405
377	0.0757760984
378	0.07567923828
379	0.07567166367
380	0.07560007604
381	0.07555265553
382	0.07548264402
383	0.075475785
384	0.07540468737
385	0.07528690332
386	0.07520519125
387	0.0751088513
388	0.07504110642
389	0.07495269006
390	0.07489556839
391	0.07483248241
392	0.07472846893
393	0.07465136245
394	0.0745369131
395	0.07446693206
396	0.07439168986
397	0.07435394947
398	0.07428844571
399	0.07415964158
400	0.0740821453
401	0.07398779919
402	0.07385347381
403	0.07376335065
404	0.07375083392
405	0.07366270097
406	0.0735924153
407	0.07350762278
408	0.07344748484
409	0.07340219785
410	0.07332784032
411	0.07323362653
412	0.07314019503
413	0.07309580791
414	0.07299886613
415	0.072902838
416	0.07282858169
417	0.0727652136
418	0.07275710384
419	0.07275423598
420	0.07265696949
421	0.07257823865
422	0.07244735598
423	0.07237930408
424	0.07222183316
425	0.07215152433
426	0.07211867733
427	0.07204712851
428	0.07192399079
429	0.07188841296
430	0.07180936663
431	0.07177538071
432	0.07169325339
433	0.07156308542
434	0.07154442817
435	0.07150322485
436	0.07149597846
437	0.07139557153
438	0.07136873772
439	0.07123679262
440	0.07114878364
441	0.07101638088
442	0.07096868075
443	0.07095035169
444	0.07087058415
445	0.07078810716
446	0.07078147984
447	0.07073729237
448	0.07068982466
449	0.07065065134
450	0.07058965969
451	0.07053638303
452	0.07052527795
453	0.07041464269
454	0.07031743194
455	0.07023044568
456	0.07017148835
457	0.07009699303
458	0.07009043175
459	0.06999862712
460	0.0698924591
461	0.06981231267
462	0.06972030289
463	0.06963489122
464	0.06960011789
465	0.06952122444
466	0.06944679811
467	0.06933521778
468	0.06927017255
469	0.06919891169
470	0.06910971073
471	0.06902930311
472	0.06896626425
473	0.06886099
474	0.06879213459
475	0.06875539751
476	0.06871807616
477	0.06865579966
478	0.06862651506
479	0.06852792362
480	0.06846764991
481	0.0683876329
482	0.06829317881
483	0.06824718755
484	0.0681717959
485	0.06809103364
486	0.06801655086
487	0.06796585822
488	0.06792038448
489	0.06785388721
490	0.06775947565
491	0.067687656
492	0.06762264707
493	0.06752563069
494	0.06742603079
495	0.06733732768
496	0.06727360712
497	0.06721827824
498	0.06715046328
499	0.0670636741
