iter	RMSE
0	0.4868038974
1	0.4526713839
2	0.4197124863
3	0.3910654204
4	0.3645419084
5	0.3392027268
6	0.3175136367
7	0.2972107489
8	0.2792315775
9	0.262489806
10	0.2486961746
11	0.2354938635
12	0.2230688487
13	0.2124419133
14	0.203268533
15	0.1956253181
16	0.1882765592
17	0.1820241284
18	0.1764507626
19	0.1703327822
20	0.1660308703
21	0.1620036951
22	0.1580722062
23	0.1544835629
24	0.1514391996
25	0.1482322728
26	0.1456131962
27	0.1432589027
28	0.1407828644
29	0.138557092
30	0.1369290261
31	0.1352398427
32	0.1336512337
33	0.132188339
34	0.1308332766
35	0.129725581
36	0.1285160992
37	0.1275648005
38	0.1266177126
39	0.1256709423
40	0.1247022141
41	0.1240391343
42	0.123290668
43	0.1226216748
44	0.1221106756
45	0.121520859
46	0.1208037619
47	0.1202168023
48	0.1196602655
49	0.1192830492
50	0.1189564958
51	0.1185319577
52	0.1182377249
53	0.1179905074
54	0.1176604518
55	0.1173100702
56	0.1168807615
57	0.1165383411
58	0.1161952802
59	0.1159657064
60	0.1156577173
61	0.1153501124
62	0.1150713366
63	0.1149317572
64	0.1145558306
65	0.114308154
66	0.114125496
67	0.1137853429
68	0.1135842679
69	0.1134462003
70	0.1132703476
71	0.1131080581
72	0.1128920049
73	0.1126615536
74	0.1124224285
75	0.1122902339
76	0.1121195962
77	0.112052195
78	0.1119090418
79	0.1116944804
80	0.1115482585
81	0.111282323
82	0.1110669523
83	0.111010755
84	0.1108630197
85	0.1105380584
86	0.1103410947
87	0.1101940763
88	0.1100468894
89	0.1098312086
90	0.1097603378
91	0.1096407539
92	0.109575839
93	0.1092500345
94	0.1091085637
95	0.1089813968
96	0.1088899393
97	0.108593828
98	0.1083984918
99	0.1081883415
100	0.1078713479
101	0.1077403448
102	0.1075516985
103	0.1074354458
104	0.1072056129
105	0.1071442913
106	0.1068903868
107	0.1068200705
108	0.106681522
109	0.1064918388
110	0.1064380728
111	0.1062237312
112	0.1060075249
113	0.1058089229
114	0.1056334488
115	0.1053622035
116	0.105221338
117	0.105176913
118	0.104973334
119	0.1048131545
120	0.1045707331
121	0.1044232482
122	0.1042208514
123	0.1041196015
124	0.103945771
125	0.103744321
126	0.1035540749
127	0.1033275283
128	0.1031123067
129	0.1030673467
130	0.1028316584
131	0.1026089854
132	0.1023416607
133	0.1021574709
134	0.1020386597
135	0.1018303384
136	0.1017317863
137	0.1015059509
138	0.1012706831
139	0.1011944302
140	0.1010732597
141	0.1008862285
142	0.100758228
143	0.1005860172
144	0.100449122
145	0.1003021568
146	0.100170071
147	0.1000218786
148	0.09988621621
149	0.09966237465
150	0.09939893434
151	0.09922926244
152	0.0991886425
153	0.09898711793
154	0.09882933368
155	0.09874722757
156	0.09862206053
157	0.09845913398
158	0.09831653985
159	0.09814217074
160	0.09803764874
161	0.09789962613
162	0.09772696771
163	0.09756672479
164	0.09742132827
165	0.09738666469
166	0.09726364296
167	0.09712975117
168	0.09702229531
169	0.09689660219
170	0.09675512844
171	0.09654393857
172	0.0963604419
173	0.09622081629
174	0.09619128221
175	0.09599151715
176	0.09589016779
177	0.09577381641
178	0.09561297037
179	0.09544899104
180	0.09527895483
181	0.09518085896
182	0.09507347101
183	0.09492220064
184	0.09479156564
185	0.09461655684
186	0.09450087881
187	0.09433677856
188	0.09415001754
189	0.09405888484
190	0.09402903069
191	0.09390932439
192	0.09377671011
193	0.09370052761
194	0.09359662159
195	0.09341453335
196	0.09333002559
197	0.09324680785
198	0.0931220554
199	0.09291925437
200	0.09281379852
201	0.09263808572
202	0.09252003856
203	0.09243158458
204	0.09241241433
205	0.09229691224
206	0.09214614959
207	0.09208595634
208	0.09200072226
